type of pest,Scientific_name,stage_pest,action_threshold,Period of pest presence,No of Plants affected,action_threshold_risk,stage_crop growth,cultural,cultural_description,biological,biological_description
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,vegetative,Field management,"Ploughing,Manuring",Natural enemies,"Trichogramma sp,Necremnus sp. nr. artynes (Walker), Stenomesius cf.japonicus (Ashmead),Neochrysocharis formosa (Westwood),Arrhenophagus sp,Copidosoma sp,Anastatus sp,Nesidiocoris tenuis,Macrolophus pygmaeus,Dicyphys marrocannus,Dicyphus errans,Dicyphus tamaninii Wagner"
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,vegetative,Crop management,"Pruning,training, Adequate irrigation,adequate fertilizer application",none ,none
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,vegetative,Field hgyiene,"Kill weed hosts,Removal of infected leaves,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts within and outside tomato farm, conserve natural enemies, add repellant crops",none ,none
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,vegetative,,,none ,none
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,vegetative,,,none ,none
Leaf miner,Tuta absoluta,Larvae,1-3,1.00,0.00,none,vegetative,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar"
Leaf miner,Tuta absoluta,Larvae,1-3,1.00,0.00,none,vegetative,crop management,"pruning,weeding",none ,none
Leaf miner,Tuta absoluta,Pupae,8-12 ,0.00,100.00,none,vegetative,Field hygiene,"Remove dried leaves and stem,Bury all pest infested fruits and foliage 50-100 cm depth",Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp."
Leaf miner,Tuta absoluta,Pupae,8-13,0.00,101.00,none,vegetative,Field management,"ploughing, weeding",none ,none
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,none ,low,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,3-4,1.00,none ,low,vegetative,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,3-4,1.00,none ,low,vegetative,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,3-4,1.00,none ,low,vegetative,crop management,"pruning, adequate irrigation",none ,none
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,none ,Moderate ,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,4-30,1.00,none ,Moderate ,vegetative,Field hgiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,4-30,1.00,none ,Moderate ,vegetative,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,none ,High,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,> 30,1.00,none ,High,vegetative,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
