crop_type,crop_variety,min_ maturity_ period(days),max maturity period(days),estimated_ min_yield_tons/acre,estimated_max_yield_tons/acre,suitable_climatic_conditions,altitude_meters_above_sea_level_min,altitude_meters_above_sea_level_max,annual_rainfall_millimeters_min,annual_rainfall_millimeters_max,row_spacing_cm,plant_spacing_1_plant_per_hill,fertilizer_requiments_planting_DAP_kgs,fertilizer_requiments_topdressing_CAN_kgs,fertilizer_requiments_topdressing_17:17:17_kgs,diseases_tolerance,pest_tolerance,pest_susceptibility,disease_susceptibility,seed source,Seed rate_ per acre_grams
TOMATO,Randah F1,70,85,30,35,warm,800,1500,600,1000,60,60,75,75,50,"fusarium wilt,verticillum wilt,tomato yellow leaf curl virus",none,"spider mites, whiteflies, leaf miner","early blight, late blight, damping off",greenlife protection limited,40
TOMATO,Nyota F1,75,85,35,38,warm,800,1500,600,1000,90,45,75,75,50,"bacterial wilt,tomato yellow leaf curl virus",none,"leaf miner, spidermites,whiteflies","anthracnose fruit rot, early blight",simlaw seeds,50
TOMATO,Crown F1,65,70,30,35,warm,800,1500,600,1000,90,45,75,75,50,"bacterial wilt,fusarium wilt",none,"whiteflies,leaf miner,spidermites","septoria leaf spot,late blight, early blight",simlaw seeds,50
TOMATO,Nouvelle F1,80,85,30,35,warm,800,1500,600,1000,60,60,75,75,50,"bacterial wilt, tomato yellow leaf curl virus",nematodes,"spider mites, whiteflies, leaf miner","anthracnose fruit rot, early blight",simlaw seeds,50
TOMATO,Kibo star F1,80,85,30,35,warm,800,1500,600,1000,60,60,75,75,50,"bacterial wilt, tomato yellow leaf curl virus",nematodes,"leaf miner, spidermites,whiteflies","anthracnose,late blight,early blight",simlaw seeds,50
TOMATO,Rio Grande,75,80,12,16,warm,800,1500,600,1000,90,45,75,75,50,"bacterial wilt,tomato yellow leaf curl virus,fusarium wilt",none,"thrips,spider mites, leaf miner","early blight, late blight, damping off",simlaw seeds,80
TOMATO,Prostar F1,80,80,100,150,warm,800,1500,600,1000,60,45,75,75,50,"bacterial wilt,tomato mosaic virus,verticillium wilt, fusarium wilt",nematodes,"leaf miner,spidermites,whiteflies","early blight, late blight, damping off",simlaw seeds,50
TOMATO,Monica F1,75,80,100,150,warm,800,1500,600,1000,90,45,75,75,50,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",nematodes,"whiteflies,leaf miner,spidermites","anthracnose,late blight,early blight",simlaw seeds,50
TOMATO,Ansal F1,75,80,100,150,warm,800,1500,600,1000,90,45,75,75,50,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",nematodes,"leaf miner,spidermites,whiteflies","early blight, anthracnose, late blight",seminis,50
TOMATO,Assila F1,70,75,25,30,hot,800,1500,600,1000,90,45,75,75,50,"tomato yellow leaf curl virus,alternaria stem canker, fusarium wilt",nematodes,"leaf miner, spidermites,whiteflies","septoria leaf spot,late blight, early blight",seminis,50
TOMATO,Kilele F1,70,75,30,35,warm,800,1500,600,1000,90,75,75,75,50,"tomato yellow leaf curl virus,bacterial wilt",none,"leaf miner, whiteflies, spidermites","early blight,late blight, downy mildew",syngenta,45
TOMATO,Rafano F1,70,75,30,35,hot,800,1500,600,1000,90,75,75,75,50,"tomato yellow leaf curl virus,bacterial wilt",none,"spider mites, whiteflies, leaf miner,thrips","early blight,late blight, downy mildew",syngenta,40
TOMATO,Bashaer F1,70,75,30,35,warm,800,1500,600,1000,75,75,75,75,50,"Fusarium wilt,verticillium,tomato mosaic virus",none,"thrips,spidermites,leaf miner,whiteflies","anthracnose,early blight, late blight,downy mildew",syngenta,40
TOMATO,Tylka f1,70,75,70,78,warm,800,1500,600,1000,60,45,75,75,50,"tomato yellow leaf curl virus,fusarium wilt, tomato mosaic virus",nematodes,"leaf miner,thrips,whieflies","early blight, late blight, downy mildew",syngenta,50
TOMATO,Anna F1,70,75,70,75,warm,800,1500,600,1000,90,60,75,75,50,"alternaria stem canker,verticillium, fusarium wilt",nematodes,"thrips,leaf miner, spidermites ","anthracnose, early blight, late blight                                                                                                                                                                                                                                                                                                                                                                                                                                             ",seminis,50
TOMATO,Big Rock F1,60,65,25,30,warm,800,1500,600,1000,90,60,75,75,50,tomato yellow leaf curl virus,nematodes,"leaf miner, thrips, spidermites, whiteflies","early blight, late blight, downy muldew",niki farm care,50
TOMATO,Pesa F1,70,75,25,30,warm,800,1500,600,1000,90,60,75,75,50,tomato yellow leaf curl virus,none,"leaf miner, spidermites,whiteflies","anthracnose, downy mildew,early blight",niki farm care,50
TOMATO,oxly,70,75,12,16,warm,800,1500,600,1000,60,45,75,75,50,tomato leaf rot virus,none,"spidermites,leaf miner, thrips","late blight,early blight, downy mildew",royal seed,50
TOMATO,Rambo F1,70,75,25,30,warm,800,1500,600,1000,90,60,75,75,50,"bacterial wilt,fusarium wilt,bacterial spot, verticillium wilt",nematodes,"leaf miner,spidermites,whiteflies","early blight, downy mildew,late blight",royal seed,50
TOMATO,TerminatorF1,70,75,25,30,warm,800,1500,600,1000,90,60,75,75,50,"tomato yellow leaf curl virus,tomato mosaic virus, verticillium wilt,Grey leaf sot",none,"leaf miner,spidermites, whiteflies","early blight, late blight,downy mildew",royal seed,50
