crop,variety,stage of growth,minimum_days,maximum_days,severity
Tomato,Randah F1,vegetative,0,30,critical
Tomato,Randah F1,flowering,31,60,critical
Tomato,Randah F1,fruiting,61,85,critical
Tomato,Randah F1,harvesting,86,145,critical
Tomato,Nyota F1,vegetative,0,30,critical
Tomato,Nyota F1,flowering,31,60,critical
Tomato,Nyota F1,fruiting,61,85,critical
Tomato,Nyota F1,harvesting,86,150,critical
Tomato,Crown F1,vegetative,0,25,critical
Tomato,Crown F1,flowering,26,51,critical
Tomato,Crown F1,fruiting,52,75,critical
Tomato,Crown F1,harvesting,76,136,critical
Tomato,Nouvelle F1,vegetative,0,30,critical
Tomato,Nouvelle F1,flowering,31,60,critical
Tomato,Nouvelle F1,fruiting,61,90,critical
Tomato,Nouvelle F1,harvesting,91,150,critical
Tomato,Kibo star F1,vegetative,0,30,critical
Tomato,Kibo star F1,flowering,31,60,critical
Tomato,Kibo star F1,fruiting,61,90,critical
Tomato,Kibo star F1,harvesting,91,180,critical
Tomato,Rio Grande,vegetative,0,30,critical
Tomato,Rio Grande,flowering,31,60,critical
Tomato,Rio Grande,fruiting,61,85,critical
Tomato,Rio Grande,harvesting,86,116,not critical
Tomato,Prostar F1,vegetative,0,30,critical
Tomato,Prostar F1,flowering,31,60,critical
Tomato,Prostar F1,fruiting,61,85,critical
Tomato,Prostar F1,harvesting,86,146,critical
Tomato,Monica F1,vegetative,0,30,critical
Tomato,Monica F1,flowering,31,60,critical
Tomato,Monica F1,fruiting,61,90,critical
Tomato,Monica F1,harvesting,91,150,critical
Tomato,Ansal F1,vegetative,0,25,critical
Tomato,Ansal F1,flowering,26,50,critical
Tomato,Ansal F1,fruiting,51,75,critical
Tomato,Ansal F1,harvesting,76,140,critical
Tomato,Assila F1,vegetative,0,25,critical
Tomato,Assila F1,flowering,26,50,critical
Tomato,Assila F1,fruiting,51,75,critical
Tomato,Assila F1,harvesting,76,140,critical
Tomato,Kilele F1,vegetative,0,25,critical
Tomato,Kilele F1,flowering,26,50,critical
Tomato,Kilele F1,fruiting,51,75,critical
Tomato,Kilele F1,harvesting,76,140,critical
Tomato,Rafano F1,vegetative,0,25,critical
Tomato,Rafano F1,flowering,26,50,critical
Tomato,Rafano F1,fruiting,51,75,critical
Tomato,Rafano F1,harvesting,76,140,critical
Tomato,Bashaer F1,vegetative,0,25,critical
Tomato,Bashaer F1,flowering,26,50,critical
Tomato,Bashaer F1,fruiting,51,75,critical
Tomato,Bashaer F1,harvesting,76,140,critical
Tomato,Tylka f1,vegetative,0,25,critical
Tomato,Tylka f1,flowering,26,50,critical
Tomato,Tylka f1,fruiting,51,75,critical
Tomato,Tylka f1,harvesting,76,140,not critical
Tomato,Anna F1,vegetative,0,25,critical
Tomato,Anna F1,flowering,26,50,critical
Tomato,Anna F1,fruiting,51,75,critical
Tomato,Anna F1,harvesting,76,140,not critical
Tomato,Big Rock F1,vegetative,0,20,critical
Tomato,Big Rock F1,flowering,21,45,critical
Tomato,Big Rock F1,fruiting,46,66,critical
Tomato,Big Rock F1,harvesting,67,100,not critical
Tomato,Pesa F1,vegetative,0,25,critical
Tomato,Pesa F1,flowering,26,50,critical
Tomato,Pesa F1,fruiting,51,75,critical
Tomato,Pesa F1,harvesting,76,140,critical
Tomato,oxly,vegetative,0,25,critical
Tomato,oxly,flowering,26,50,critical
Tomato,oxly,fruiting,51,75,critical
Tomato,oxly,harvesting,76,110,not critical
Tomato,Rambo F1,vegetative,0,25,critical
Tomato,Rambo F1,flowering,26,50,critical
Tomato,Rambo F1,fruiting,51,75,critical
Tomato,Rambo F1,harvesting,76,140,critical
Tomato,TerminatorF1,vegetative,0,25,critical
Tomato,TerminatorF1,flowering,26,50,critical
Tomato,TerminatorF1,fruiting,51,75,critical
Tomato,TerminatorF1,harvesting,76,140,critical
Tomato,Bravo F1,vegetative,0,25,critical
Tomato,Bravo F1,flowering,26,50,critical
Tomato,Bravo F1,fruiting,51,75,critical
Tomato,Bravo F1,harvesting,76,150,critical
Tomato,Susana F1,vegetative,0,25,critical
Tomato,Susana F1,flowering,26,50,critical
Tomato,Susana F1,fruiting,51,75,critical
Tomato,Susana F1,harvesting,76,150,critical
Tomato,Nyati F1,vegetative,0,25,critical
Tomato,Nyati F1,flowering,26,50,critical
Tomato,Nyati F1,fruiting,51,75,critical
Tomato,Nyati F1,harvesting,76,140,critical
Tomato,Twiga F1,vegetative,0,20,critical
Tomato,Twiga F1,flowering,21,45,critical
Tomato,Twiga F1,fruiting,46,70,critical
Tomato,Twiga F1,harvesting,71,135,critical
Tomato,Commando F1,vegetative,0,20,critical
Tomato,Commando F1,flowering,21,45,critical
Tomato,Commando F1,fruiting,46,70,critical
Tomato,Commando F1,harvesting,71,135,critical
Tomato,Ranger F1,vegetative,0,20,critical
Tomato,Ranger F1,flowering,21,45,critical
Tomato,Ranger F1,fruiting,46,70,critical
Tomato,Ranger F1,harvesting,71,135,critical
Tomato,Zara F1,vegetative,0,25,critical
Tomato,Zara F1,flowering,26,50,critical
Tomato,Zara F1,fruiting,51,75,critical
Tomato,Zara F1,harvesting,76,150,critical
Tomato,shanty F1,vegetative,0,25,critical
Tomato,shanty F1,flowering,26,50,critical
Tomato,shanty F1,fruiting,51,75,critical
Tomato,shanty F1,harvesting,76,150,critical
