severity,minimum_days,id,crop_variety,owner,updated_at,is_archived,growth_stage,maximum_days,metadata,created_at
not_critical,91,7322dd46-6adf-4d24-8421-97470e2fc704,Moneymaker,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:13:00.019228+03:00,False,harvesting,120,{},2023-08-30T17:13:00.019202+03:00
critical,61,7cfebd88-ce3e-4f1c-83f9-de3bcf4ca713,Moneymaker,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2024-10-14T17:06:29.366841+03:00,False,fruiting,90,{},2023-08-30T17:13:00.010886+03:00
critical,31,d37c4f2a-db5d-499b-9008-a52c73445e51,Moneymaker,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2024-10-14T17:06:09.716737+03:00,False,flowering,60,{},2023-08-30T17:13:00.002924+03:00
critical,0,2d1ac10c-6c4e-405d-bba4-aca3c5396851,Moneymaker,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.994957+03:00,False,vegetative,30,{},2023-08-30T17:12:59.994933+03:00
not_critical,91,008fcfc5-dc70-44fe-b2a6-10d534768182,Cal J,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.987867+03:00,False,harvesting,120,{},2023-08-30T17:12:59.987842+03:00
critical,61,d7cd0938-fb2f-4150-b7e0-c4ead28ba545,Cal J,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.980738+03:00,False,fruiting,90,{},2023-08-30T17:12:59.980705+03:00
critical,31,e997ed70-f788-4e90-bffe-d18de62972f9,Cal J,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.973757+03:00,False,flowering,60,{},2023-08-30T17:12:59.973733+03:00
critical,0,b85c96e2-ca95-49b5-b27f-a39bd42e813b,Cal J,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.966318+03:00,False,vegetative,30,{},2023-08-30T17:12:59.966287+03:00
critical,76,fe08367f-9fa5-42a7-af9f-0cc71648bced,Eva F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.930996+03:00,False,harvesting,150,{},2023-08-30T17:12:59.930971+03:00
critical,51,29d62afe-418b-4d5e-8f4b-92ab48c3aee6,Eva F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.923991+03:00,False,fruiting,75,{},2023-08-30T17:12:59.923966+03:00
critical,26,af623fd6-0231-4786-9d39-109fe70e5c2c,Eva F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.917334+03:00,False,flowering,50,{},2023-08-30T17:12:59.917310+03:00
critical,0,75d8a456-add7-48f3-b705-3deef31fe5b6,Eva F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.910462+03:00,False,vegetative,25,{},2023-08-30T17:12:59.910438+03:00
