fertilizer_requirements_topdressing_17_17_kgs,owner_detail,seed_source,crop_variety,min_maturity_in_days,row_spacing_cm,pest_susceptibility,max_annual_rainfall_mm,diseases_tolerance,min_estimated_yield,crop_type,fertilizer_requirements_planting_DAP_kgs,id,max_altitude_meters_above_sea_level,pest_tolerance,max_estimated_yield,min_annual_rainfall_mm,suitable_climatic_conditions,fertilizer_requirements_topdressing_CAN_kgs,max_maturity_in_days,Seed_rate_per_acre_grams,disease_susceptibility,min_altitude_meters_above_sea_level,plant_spacing_1_plant_per_hill
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}","kenya seed,safari seeds",Moneymaker,85,60,"thrips.leaf miner, spidermites",1000.0,"tomato mosaic virus,tomato leaf rot virus",12.0,Tomato,75,aec3c2e2-165e-493b-ae2c-c4fd894b7889,1500.0,nematodes,16.0,600.0,warm,75,90,50,"early blight, late blight, downy mildew",750.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}","kenya seed, safari seeds",Cal J,80,60,"whiteflies,leaf miner,spidermites",1000.0,"tomato mosaic virus,tomato leaf rot virus",12.0,Tomato,75,8a7c4559-e6ac-4490-8fac-032985c21d73,1500.0,nematodes,16.0,600.0,warm,75,90,50,"early blight, late blight, downy mildew",750.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",Amiran limited,Eva F1,70,90,"leaf miner, whiteflies, spidermites",1000.0,"verticillium wilt,fusarium wilt,tomato mosaic virus",25.0,Tomato,75,4c34ac37-8ce8-4648-a361-27ba803d7528,1500.0,nematodes,30.0,650.0,warm,75,75,50,"early blight,late blight, downy mildew",700.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",Amiran limited,Carazon F1,70,90,"whiteflies,leaf miner,spidermites",1000.0,"tomato yellow leaf curl virus,tomato mosaic virus",25.0,Tomato,75,ea972cf9-8c29-4746-a58b-3b3ec6abacf0,1500.0,none,30.0,700.0,warm,75,75,50,"early blight, late blight, downy mildew",700.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",Amiran limited,Shanty F1,70,60,"leaf miner,whiteflies, spidermites",1000.0,"tomato yellow leaf curl virus, bacterial wilt",25.0,Tomato,75,1675f3e1-d9ac-4138-9fc3-371c803336a8,1500.0,none,30.0,650.0,warm,75,75,50,"early blight,late blight, downy mildew",700.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",Amiran limited,Zara F1,70,90,"leaf miner, whiteflies, spidermites",1000.0,"tomato yellow leaf curl virus, bacterial wilt",25.0,Tomato,75,c55766cb-bbf8-4c17-a84a-63ae97a64602,1500.0,none,30.0,650.0,warm,75,75,50,"downy mildew,early blight, late blight",700.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",continental seeds,Ranger F1,65,60,"leaf miner,thrips,whieflies",1000.0,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus,fusarium wilt",30.0,Tomato,75,a06ad1c0-c051-41ac-9d68-eda271d7f77e,1500.0,nematodes,33.0,650.0,warm,75,70,50,"antracnose, early blight, late blight",750.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",continental seeds,Commando F1,65,60,"whiteflies,leaf miner,spidermites",1000.0,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",30.0,Tomato,75,b0346473-0bae-48c4-97c5-082f26cbec0a,1500.0,nematodes,35.0,600.0,warm,75,70,35,"early blight, late blight, downy mildew",850.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",ultravetis east africa limited,Twiga F1,60,90,"leaf miner, thrips, spidermites, whiteflies",1000.0,"bacterial wilt,tomato yellow leaf curl virus",50.0,Tomato,75,14c1d775-aec0-4227-8e53-84fb220272c9,1500.0,none,60.0,800.0,warm,75,70,120,"downy mildew,early blight, late blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",ultravetis east africa limited,Nyati F1,70,60,"spidermites,leaf miner, thrips",1000.0,"bacterial wilt,tomato yellow leaf curl virus",30.0,Tomato,75,f354084c-795e-460a-8936-476159354c25,1500.0,none,35.0,800.0,warm,75,75,120,"early blight, late blight, downy mildew",1000.0,60
