id,created at,updated at,is archived,metadata,pest type,scientific name,stage pest,action threshold,action threshold risk,stage crop growth,cultural,cultural description,biological,biological description,pest presence period,no of plants affected
f98a774f-44b3-4a78-8c1b-7866e0bc679c,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30 ,high,fruiting,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
57a42a62-12b9-4c09-be4e-8a5daef9baf4,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30 ,high,fruiting,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
30e31dba-3af3-4a81-8e22-cc1b50fd956a,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30 ,high,fruiting,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
5dcfd77d-19ef-4de8-b4e9-a6f07a731aad,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,fruiting,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
a6794b14-57b6-4742-b602-1159b7e09200,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,fruiting,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
332e7d97-6630-45de-8e32-3433fcca46de,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,fruiting,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
1a28a36b-c9ba-4526-a549-75a9dc8efa95,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,fruiting,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves,use of pheromone traps,add repellant crops around the tomato rows, conserve natural enemies",none ,none,1.0,1.0
54a3a8aa-2f2c-4525-94fa-55455e332a75,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,fruiting,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
ba4e8fbc-3d92-460d-a459-0fddd4c15816,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,fruiting,crop management,"adeaquate irrigation, adequate fertilizer application",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
61bf9115-513b-402f-a1eb-ead7fd9a26b6,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,fruiting,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
054c0aed-87de-439f-a3ed-4456ad1a97e1,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,pupae,8-12 ,none,fruiting,Field management,"plouhing,weeding",none ,none,0.0,0.0
279f236a-e4a5-4c26-98e5-033b50c5993b,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,pupae,8-12 ,none,fruiting,Field hgyiene,Removal of dried leaves and stems,Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp.",0.0,0.0
2e6387ec-e765-4e0b-af05-684a10fc26b6,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,1-3 ,none,fruiting,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts,kill weed host",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar",1.0,1.0
e3099922-0413-4dd7-b259-8a1a5167f6f4,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,fruiting,crop management,"Adequate irrigation,Adequate fertilizer application",none ,none,0.0,0.0
